model,count,hit_rate_mean,hit_rate_std,hit_rate_min,hit_rate_max,mrr_mean,mrr_std,mrr_min,mrr_max,precision_mean,precision_std,precision_min,precision_max,ndcg_mean,ndcg_std,ndcg_min,ndcg_max,exact_match_mean,exact_match_std,exact_match_min,exact_match_max,rouge_l_f1_mean,rouge_l_f1_std,rouge_l_f1_min,rouge_l_f1_max,semantic_similarity_mean,semantic_similarity_std,semantic_similarity_min,semantic_similarity_max,faithfulness_mean,faithfulness_std,faithfulness_min,faithfulness_max,answer_relevancy_mean,answer_relevancy_std,answer_relevancy_min,answer_relevancy_max,llm_quality_score_mean,llm_quality_score_std,llm_quality_score_min,llm_quality_score_max
bge-base,20,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.2,0.0,0.2,0.2,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0528,0.0186,0.0,0.0645,0.6395,0.0889,0.3966,0.7667,0.73,0.4168,0.0,1.0,0.6448,0.0664,0.4954,0.7628,3.25,1.8647,1.0,5.0
bge-large,20,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.2,0.0,0.2,0.2,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0528,0.0186,0.0,0.0645,0.6395,0.0889,0.3966,0.7667,0.8827,0.3312,0.001,1.0,0.6448,0.0664,0.4954,0.7628,3.5,1.7838,1.0,5.0
bge-small,20,1.0,0.0,1.0,1.0,0.975,0.1118,0.5,1.0,0.2,0.0,0.2,0.2,0.9815,0.0825,0.6309,1.0,0.95,0.2236,0.0,1.0,0.0498,0.0219,0.0,0.0645,0.631,0.093,0.3966,0.7667,0.8897,0.2557,0.0002,1.0,0.6418,0.0659,0.4954,0.7628,3.0769,1.801,1.0,5.0
granite,20,1.0,0.0,1.0,1.0,0.975,0.1118,0.5,1.0,0.2,0.0,0.2,0.2,0.9815,0.0825,0.6309,1.0,0.95,0.2236,0.0,1.0,0.0498,0.0219,0.0,0.0645,0.631,0.093,0.3966,0.7667,0.6304,0.4093,0.0,1.0,0.6418,0.0659,0.4954,0.7628,3.4615,1.8081,1.0,5.0
gte-small,20,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.2,0.0,0.2,0.2,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0528,0.0186,0.0,0.0645,0.6395,0.0889,0.3966,0.7667,0.6541,0.4257,0.0,1.0,0.6448,0.0664,0.4954,0.7628,2.9091,1.8684,1.0,5.0
harrier,20,1.0,0.0,1.0,1.0,0.975,0.1118,0.5,1.0,0.2,0.0,0.2,0.2,0.9815,0.0825,0.6309,1.0,0.95,0.2236,0.0,1.0,0.0498,0.0219,0.0,0.0645,0.631,0.093,0.3966,0.7667,0.9226,0.2397,0.0277,1.0,0.6418,0.0659,0.4954,0.7628,3.4167,1.8809,1.0,5.0
jina,20,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.3267,0.0298,0.2,0.3333,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0528,0.0186,0.0,0.0645,0.6395,0.0889,0.3966,0.7667,0.6819,0.474,0.0,1.0,0.6448,0.0664,0.4954,0.7628,4.8182,0.603,3.0,5.0
minilm-l12,20,1.0,0.0,1.0,1.0,0.95,0.1539,0.5,1.0,0.2,0.0,0.2,0.2,0.9631,0.1136,0.6309,1.0,0.9,0.3078,0.0,1.0,0.047,0.0245,0.0,0.0645,0.6109,0.1435,0.1379,0.7667,0.9464,0.2004,0.25,1.0,0.6337,0.0691,0.4954,0.7628,2.9167,2.0207,1.0,5.0
mpnet,20,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.2,0.0,0.2,0.2,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0528,0.0186,0.0,0.0645,0.6395,0.0889,0.3966,0.7667,0.6018,0.4465,0.0,1.0,0.6448,0.0664,0.4954,0.7628,2.8929,1.8416,1.0,5.0
qwen3,20,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.2,0.0,0.2,0.2,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0528,0.0186,0.0,0.0645,0.6395,0.0889,0.3966,0.7667,0.8639,0.2838,0.0,1.0,0.6448,0.0664,0.4954,0.7628,4.1538,1.0682,2.0,5.0
